UserID,Review_Text,Date,NumberOfVisit,Satisfaction,Taste Positive,Taste Negative,Service,Price
이린스타일,연말에 평일 디너를 어떻게든 다녀왔었습니다 사람이 많았지만 즐거웠고 구성이 알차서 좋았어요,2023년 12월 14일 목요일,1번째 방문,긍정,-,-,긍정,긍정
헝겉,주차타워에 대고 셔틀 혹은 걸어서 이동합니다 비용이 조금 세긴 하지만 디너 뷔페로 오시는 거 추천하고 각자 소중한 사람들과 특별한 시간 보내기 좋습니다,2023년 12월 2일 토요일,1번째 방문,긍정,-,-,긍정,부정
A8뜨뚜,신라호텔 더 파크뷰 뷔페인 당 가격대가 잇지만 대게나 음식 퀄리티가 좋아요 간도 딱 좋고 전체적으로 종류의 밸런스가 좋았습니다 직원 분들 친절하시고 주차도 편해요 가족 단위 손님들이 많으시더라고 요 특별한 날 가족들과 오기에 좋은 거 같아요,2023년 10월 1일 일요일,1번째 방문,긍정,['대게'],['-'],긍정,긍정
Jessica Park,몇 번 갈 때마다 늘 테이블이 협소한 게 가장 아쉽지만 22일 생일이라 디너로 갔는데 서비스도 메뉴도 대 만족입니다,2023년 12월 22일 금요일,1번째 방문,긍정,['-'],['-'],긍정,긍정
민트쵸코75,디저트류가 좋았어요,2024년 4월 10일 수요일,1번째 방문,긍정,['디저트류'],-,긍정,-
DEAN KIL,비싸지만 좋은 곳,2024년 5월 4일 토요일,1번째 방문,긍정,-,-,긍정,부정
CTStory,240218 또 너무 비쌈 애슐리 퀸즈가 최고인 듯,2024년 2월 17일 토요일,1번째 방문,긍정,['애슐리 퀸즈'],-,부정,부정
yr0****,와이프 생일에 처음 가본 호텔 뷔페 최고였어요 아이를 위한 도화지와 색연필까지 감동이네요 재방문 의사 100입니다 대게랑 양 갈비 안심스테이크는 사랑입니다 디저트 및 과일 모두 최고였어요,2023년 11월 4일 토요일,1번째 방문,긍정,"['대게', '양 갈비', '안심스테이크', '디저트', '과일']",['음식 없음'],긍정,-
예예예예예84,비싼 만큼 서비스와 맛이 있어요 특별한 날 부모님과 함께 오기 좋아요,2024년 2월 3일 토요일,1번째 방문,긍정,['-'],['-'],긍정,긍정
ERANGMAM,아기가 스테이크 너무 잘 먹었어요 언제나 더 파크뷰는 흠이 없어요 친절함과 식사의 품질은 어느 곳과 비교가 되 질 않아요,2024년 1월 3일 수요일,2번째 방문,긍정,['스테이크'],['음식 없음'],긍정,-
